brand,series,single_shaft,splice,price
niche,ultimate,TRUE,4,24000
niche,ultimate,TRUE,5,26000
niche,ultimate,TRUE,8,29000
niche,ultimate,TRUE,12,33000
niche,gravity,FALSE,4,26000
niche,gravity,FALSE,5,29000
niche,gravity,FALSE,8,32000
niche,gravity,FALSE,12,38000
impression,ss,TRUE,4,20000
impression,ss,TRUE,6,23000
impression,ss,TRUE,7,24000
impression,ss,TRUE,8,26000
impression,ss,TRUE,12,33000
impression,element,FALSE,5,13500
impression,element,FALSE,6,13500
impression,element,FALSE,8,16000
impression,element,FALSE,12,22000
impression,element,FALSE,4,10000